,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
Acura,3.5,573,476,2,157874
Alfa Romeo,2.4625,404,373,3,74134
Alpine,1.8,288,236,4,71500
Ariel,2.0,320,243,2,75000
Aston Martin,4.528,592,560,3,215079
Audi,3.4140845070422534,502,485,3,93874
BMW,3.1868852459016392,464,425,3,80134
Bentley,5.28,603,637,3,215629
Bugatti,8.0,1502,1180,2,3251956
Chevrolet,6.1883333333333335,559,557,3,55246
Dodge,6.290243902439024,702,641,3,70976
Ferrari,4.037037037037037,795,568,2,410099
Ford,3.889583333333333,612,519,3,368829
Jaguar,3.7666666666666666,448,409,4,83118
Kia,3.3,368,376,4,52200
Koenigsegg,5.0,1364,1069,2,2906666
Lamborghini,5.703030303030303,713,550,3,425947
Lexus,5.0,471,398,4,93228
Lotus,3.5,683,477,3,508435
Maserati,4.629166666666667,464,390,4,147656
Mazda,2.0,181,151,6,26830
McLaren,3.7520000000000007,625,485,2,297807
Mercedes-AMG,4.2,584,545,3,169363
Mercedes-Benz,4.624074074074074,559,502,3,164661
Nissan,3.6864864864864866,360,287,4,50752
Pagani,6.0,758,744,2,2791666
Pininfarina,,1873,1696,1,2500000
Polestar,2.0,600,738,4,155000
Porsche,3.158904109589041,454,415,4,129478
Rimac,,1910,1701,1,2400000
Rolls-Royce,6.7299999999999995,611,610,4,333235
Shelby,7.0,435,440,4,1000000
Subaru,2.5,310,290,5,38170
TVR,5.0,500,449,3,140500
Tesla,0.0,1018,897,1,162527
Toyota,3.0,382,368,3,43072
Ultima,6.2,1200,1300,2,220000
W Motors,3.766666666666667,793,718,2,2216666
